report_date, total_purchase_amt, zfb0, zfb1, zfb2, zfb3, zfb4 , zfb5 , zfb6 , zfb7 , zfb8 , zfb9 , zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb18, zfb19, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb28, zfb29, zfb30, zfb31, bank0, bank1, bank2, bank3, bank4, bank5, bank6, bank7, bank8, bank9, bank10, bank11, bank12, bank13, bank14, bank15, bank16, bank17, bank18, bank19, bank20, bank21, bank22, bank23, bank24, bank25, bank26, bank27, bank28, bank29, bank30, bank31, bank32, bank33, bank34, bank35, bank36, bank37, bank38, bank39, bank40, bank41, share
20130701,89813113,0,14076041,7314866,657496,405862,9768,201155,465979,89101,0,0,891593,1064235,19934,810130,608903,122462,2196969,1020361,2347380,415571,6031700,809339,20460,887622,656047,1052091,213389,5169701,1692301,499664,329367,0,0,0,0,0,0,0,0,0,200952,0,0,0,2931522,0,0,0,0,0,0,9930,0,6036814,0,0,1832162,4814949,2944253,2219153,937979,2367406,647843,1077167,2394421,149194,757574,970826,3573554,2317167,1759217,1311692,407214,72637
20130702,120814358,0,21444400,2010406,161467,2154860,6706597,503587,346046,605040,377875,68614,1681757,2009815,1308924,425747,43635,454095,2653270,3032289,1919430,2727396,507328,6143410,717801,7675494,2558952,2297426,13581552,287883,6201984,507981,365614,0,0,0,0,0,0,0,0,0,0,0,199784,0,0,992161,0,0,10235,5111128,0,0,0,2937974,0,0,0,798592,549531,907765,3319736,608567,756599,0,200718,807502,2592471,1423655,3363031,2690328,171503,1376068,439640,76695
20130703,99830106,0,9453227,391001,694,357440,1867278,130211,49974,494705,989739,0,609212,5672621,68768,4687457,305127,3069333,6007890,1213698,2763732,386774,64426,547362,170410,3449371,395356,352658,793084,18404685,7035619,1847488,1378350,0,50877,0,0,0,0,0,0,0,0,0,294702,0,3025237,0,201404,0,0,1007582,975219,0,2031049,2963200,3008186,0,0,109876,0,0,795493,0,1116390,2006806,1024753,505963,195111,1153829,1894720,1557049,1350012,991650,511903,101405
20130704,145901690,0,15023377,5431804,0,496605,367971,235014,146889,231561,4441343,1030073,1732289,393350,27856991,382095,2533573,1837661,973197,255615,8405756,554314,45447,821009,100344,1880945,6074298,5764868,17829955,884224,4123703,1291182,142368,0,0,0,0,0,0,0,4872951,0,0,0,0,0,2986528,0,203958,0,511551,0,2048715,813,0,4327163,0,10079,885,198780,462537,1020932,893948,422102,742465,1829798,1243596,801845,3904102,2132415,1214429,1340932,1526834,939552,864155,112804
20130705,84773760,0,10029999,1974688,0,966993,0,0,69024,298350,375679,1126,30536,3427500,0,219357,0,202491,347394,3302657,6779854,553369,60745,996749,793287,5719206,1932792,1705673,12077438,2780044,3194887,62960,1531952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200096,0,0,3018277,0,0,1222831,0,0,10126,0,1530953,0,0,4044581,560053,3488748,1445603,1107928,259856,1041237,2755319,2520924,656059,911311,443263,121845
20130706,59506459,0,3904003,1011092,10036,0,50595,5437,0,97529,280757,0,236758,1676231,1236047,97888,0,204127,611118,395471,1558891,45962,1195703,180031,304214,270082,19013,1436787,19996812,49172,5946178,8163047,1818835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12126,0,0,0,887103,34250,409217,0,300655,509624,506977,0,203637,402788,98314,145041,707389,1133377,2043280,683362,489547,137956
20130707,46789017,0,4947835,304295,2790,4096695,689520,98937,0,86227,139262,0,139940,194757,192921,203692,347090,350077,500163,5822718,3870736,71668,4920237,1016891,195695,1227890,1068925,655713,362478,143461,1141864,286069,27131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10167,0,49326,299344,399535,10160,406738,0,1204603,1616770,0,3657348,901548,198818,199343,625077,1192028,327949,797018,1260595,390181,136792
20130708,127070930,0,24618295,947498,894543,1957639,806501,6159328,0,441858,1105134,197,97877,2232563,1121916,2392355,103067,997,106275,1277375,1863793,118553,668034,500358,801,432592,307531,588392,1845706,351456,32534815,580893,5431923,0,0,0,0,0,0,0,0,0,0,1372279,0,0,3059295,0,0,0,0,4979904,0,0,0,3072331,101406,101611,408054,202149,3575861,0,1201834,450441,1004746,40881,2196915,4997055,1977065,497389,2754209,470518,1700840,2392815,894189,130878
20130709,127045030,0,28375942,1218419,2533,963260,2457,0,1133768,24460,1169691,275585,127608,14337,355408,1156956,1176917,2072968,199908,977060,9806,1617580,1324604,276642,616067,6133448,144730,6118716,40907133,3483519,2629078,1041216,1227888,0,2465312,0,0,0,0,0,0,0,0,0,0,0,9343,0,0,0,0,0,0,0,0,0,2986361,0,0,1004688,1726641,0,198809,749931,921495,0,1729727,612297,3907666,200411,1586050,663620,1980324,1095261,289818,139572
20130710,94024796,0,9590278,0,107823,989549,5752608,512343,12304,4863,3472493,226017,3283451,4048010,990744,862075,8529422,1894503,261978,306486,1241273,203678,88747,1050071,506016,958307,691615,4498472,1200784,550733,3960103,2342149,5764722,0,2554295,0,0,0,0,0,0,0,0,0,0,0,2988109,0,0,0,2013339,0,0,0,0,702263,2007576,0,0,654635,0,488189,197291,2693659,1609499,403794,1170738,1649502,1734317,1184637,2630859,1324266,2133489,1503738,318612,160372
