report_date,total_redeem_amt,tftobal_amt, zfb00, zfb01, zfb02, zfb03, zfb04, zfb05, zfb06, zfb07, zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, category1, category2, category3, category4, card00, card01, card02, card03, card04, card05, card06, card07, card10, card11, card12, card13, card14, card15, card16, card17, card20, card21, card22, card23, card24, card25, card26, card27, card30, card31, card32, card33, card34, card35, card36, card37
20130701,24767334,22254658,0,0,0,0,0,0,0,0,0,2059567,211959,996604,300180,5670724,216652,0,0,1547610,9469690,608951,106877,12109,1012558,41177,0,41960,0,2470716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130702,8390811,6355534,0,0,0,0,0,0,0,0,0,10055,899895,1532,20013,924463,71611,29115,0,729029,3072536,10036,335242,51310,200697,0,0,28850,0,2006427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130703,17245549,15985392,0,0,0,0,0,0,0,0,0,1857611,2248577,541459,110113,465933,2749684,17074,0,5138,1775548,97455,302161,4953234,201262,660143,0,67918,0,1192239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130704,16859653,13961714,0,0,0,0,0,0,0,0,0,994327,3242487,0,312455,3072694,132163,255330,0,31253,3301025,899477,11830,1708673,0,0,460196,314701,0,2123042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130705,11369171,9721614,0,0,0,0,0,0,0,0,0,362118,3228363,247639,299477,631251,335152,0,0,329105,760983,615277,278050,229530,218885,2185784,2800,537800,0,1106957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130706,14851205,12731069,0,0,0,0,0,0,0,0,0,1312710,511946,612720,131117,80822,10013,0,0,129303,882834,7823942,465380,181570,140598,448114,203540,671658,0,1244938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130707,8760751,6023698,0,0,0,0,0,0,0,0,0,0,4874179,99386,30712,0,0,0,0,302734,360528,106406,99415,70838,0,79500,911420,439004,0,1386629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130708,12800183,10556948,0,0,0,0,0,0,0,0,0,163466,4526684,638986,310640,937310,852938,0,0,519350,1437944,522770,338929,240927,67004,0,361172,357301,0,1524762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130709,37743853,33989427,0,0,0,0,0,0,0,0,0,51852,2232286,4972029,10831402,70191,1564558,99650,0,1713430,9118851,1842230,109117,1032377,350434,1020,403341,2036935,0,1314150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130710,15388462,8194014,0,0,0,0,0,0,0,0,0,114433,1100421,85870,186339,1811574,519935,0,0,833684,1921868,554342,269769,395573,399186,1020,5520949,279600,0,1393899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
