report_date, total_purchase_amt, zfb0, zfb1, zfb2, zfb3, zfb4 , zfb5 , zfb6 , zfb7 , zfb8 , zfb9 , zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb18, zfb19, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb28, zfb29, zfb30, zfb31, bank0, bank1, bank2, bank3, bank4, bank5, bank6, bank7, bank8, bank9, bank10, bank11, bank12, bank13, bank14, bank15, bank16, bank17, bank18, bank19, bank20, bank21, bank22, bank23, bank24, bank25, bank26, bank27, bank28, bank29, bank30, bank31, bank32, bank33, bank34, bank35, bank36, bank37, bank38, bank39, bank40, bank41, share
20130701,146011704,0,5692600,996785,0,557641,300055,71543,0,2226383,0,1708542,4254580,188089,0,421449,1983,446182,28569,1263643,154926,3607105,4605836,3613674,9978922,8081198,5881701,37061044,5274006,2206657,6416864,9151759,1703868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199243,4262859,0,2945551,0,0,81427,1190640,3613231,0,557776,10180,0,1021,3103746,665493,1700148,407052,1180269,1100356,3579831,660448,2106467,772734,879112,98516
20130702,149177892,0,4415605,0,0,0,3037935,78906,0,0,0,4925,0,0,603986,0,142012,15106,526894,1064194,208023,502506,5792422,7732114,4896925,1501004,4488280,80367301,569855,872194,1327682,1653810,2170185,0,0,0,0,0,0,0,0,0,0,0,101976,0,0,0,0,0,0,0,5981,1994635,0,4890040,99871,593861,201961,100924,508220,0,512076,204513,4288487,893063,0,942196,1844569,2796421,2494971,81312,2610113,1149791,787070,103977
20130703,152016832,0,5686597,2298948,1006904,18087,54372,200064,0,88703,0,456777,992880,0,988768,42584,213791,4078701,1262655,714654,16609192,6474129,5170097,1918808,4673626,5666162,6269557,28805850,3322413,2803037,5683572,1917365,2008210,0,2012015,0,0,0,0,0,0,0,0,0,0,0,510866,3981322,0,0,995549,507475,0,0,3,100614,3034230,1490388,707877,9939,0,430165,2955879,203988,4622892,515344,0,3943373,4408606,4155854,2624114,1542499,1457691,1941730,310546,127370
20130704,146101816,0,3532922,0,397384,27519,301287,197326,1225,627967,0,283025,1003680,20146,0,440199,44827,0,562804,1097186,368517,424243,9396224,1489285,1270634,12004952,11716702,10462421,7508690,642735,52801994,1959538,848301,0,200757,0,0,0,0,0,0,0,0,0,0,0,985536,0,0,0,0,0,0,0,0,2842344,699174,0,202139,929,282980,397931,101487,200440,2004226,4187080,706305,1420780,3372917,3411796,1328473,1866146,685916,1203332,426992,142403
20130705,100450261,0,2202048,0,0,0,1841004,99292,0,0,0,31990,567293,101064,0,593810,59130,1490213,100579,0,2487028,2811683,6129291,431955,4509425,12871059,4510665,4245264,20941869,2457335,819376,323208,8252418,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,305778,976543,98767,1726440,1429228,1016980,1624036,1628379,500241,3899903,1651331,2186745,2604623,2050559,714959,157554
20130706,79017082,0,967768,0,0,8105,295875,287453,30923,0,0,1025440,1479928,0,0,71656,3005,571583,618449,0,221318,3030642,1037161,71995,2340092,482400,5515292,32764002,2781499,788124,6756175,1657489,81129,0,0,0,0,0,0,2958936,0,0,0,49236,0,0,0,0,0,0,0,727121,0,0,502996,0,0,0,0,0,202140,0,0,0,198449,303503,200059,4686040,1055517,2031701,512130,834328,674962,630801,389844,171816
20130707,65408063,0,2172765,0,0,0,0,100656,0,49210,0,60895,1008798,10238,500105,0,37460,0,0,603866,274631,181389,611498,49522,6005534,974479,1417080,10179987,6249869,1519688,8521547,84415,4213838,0,0,0,0,0,0,204478,0,0,0,0,0,0,500457,0,0,0,0,0,0,0,0,5048181,0,0,0,0,201241,0,0,2235897,50378,203707,564789,1945517,307272,3417951,946661,1258587,1286562,1583158,659228,166529
20130708,127116792,0,2906698,0,209366,124193,1103786,198427,8069,0,50083,30587,0,0,0,351619,1966,29776,640367,388182,11510370,2652317,9348811,26811577,3081582,5482550,6101554,4612010,1722974,3987010,7508507,65541,192614,0,3059531,0,0,9813,0,0,0,0,0,0,3950486,0,0,0,0,1971243,0,0,0,0,507919,2982229,507144,5003074,213972,0,488628,0,0,9857,637290,2891229,488114,1597125,792072,2402228,3168816,1218611,3100212,2233531,603705,159427
20130709,147415783,0,17503883,0,0,75026,182802,204261,364629,227734,0,1018018,2282092,10241,0,0,422769,406377,3049549,99831,1598359,1158112,1526942,42282709,2847093,28224054,3206637,10494928,215021,994289,3848376,1021715,293022,0,22721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13075,0,0,0,0,0,509037,0,201739,395541,2053595,497124,0,11112,614641,6139375,0,1492862,1991138,3121711,804382,2099410,1952323,1619154,152476,165898
20130710,151750994,0,1855648,6216,396192,0,543876,70509,0,686024,2044,0,0,1266515,0,1508524,112207,977,1762396,198250,10353576,10840304,1343930,16658517,660086,1420258,37784928,9601880,9022022,2732350,1875497,0,707040,0,100766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203836,502490,0,390816,0,196487,0,700316,768430,0,180779,1003839,3541782,5928308,6291608,1256838,6015274,3814253,3613378,3925823,1358576,361181,186448
20130711,110762729,0,1766072,1988966,1023726,52022,0,0,0,25520,0,1019011,497881,0,0,181268,531727,1000368,499996,2726384,115341,5395249,1420975,5274081,8449319,759889,9048291,18679331,207351,10531474,10655376,219483,753651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1412849,199048,994427,3945377,996294,0,198072,0,0,686364,29655,0,0,1315441,2165456,2603637,2738336,3199309,1339149,1738204,2239129,1412352,527139,199739
20130712,63203889,0,1796250,1003853,0,95091,0,0,0,0,0,1043754,2021480,50275,0,98902,2890120,165939,105443,24372,262979,542721,1128984,1891267,3194703,1224788,13259868,7269995,476838,477850,1540967,160782,768556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203308,0,197750,0,0,0,0,0,662,0,0,811665,0,1007581,1731184,862306,102273,3222941,3062708,2385998,3895510,2346534,1473538,191788,212366
20130713,62933117,0,8280483,29447,0,0,243408,0,0,133519,0,1288919,0,60362,0,49504,135736,0,682615,56270,407882,1114281,11286528,1082460,1916824,2031594,5738063,7889116,0,239396,319284,430834,2177909,0,0,0,0,0,0,0,0,88707,0,0,0,0,4032956,0,0,989219,0,0,0,400023,0,0,0,0,97854,0,204876,1505957,99312,95884,587484,303668,0,197793,1106969,1121785,1314534,1448869,1380265,1951451,188759,222318
20130714,80943304,0,4238236,2003049,0,46248,69543,0,9842,0,211597,48042,2018813,0,30350,10162,478693,0,70236,469182,11455031,339784,843118,1533579,1230575,7403713,14381788,3719909,2673026,496461,2236498,1545341,2222997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202953,1293,0,0,0,225,0,847784,2443114,2555850,93920,0,710720,202006,3327365,3596686,2420482,737730,376121,1720777,1386131,313842,220492
20130715,110032968,0,4116598,0,140299,980235,193367,0,0,101,0,1133240,0,293769,404848,2424105,793897,0,899224,2925262,197967,4080032,8339235,2434954,7229307,2728545,9297874,6597724,2151510,12299,16111393,2623762,2903942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094292,0,0,201029,0,0,49073,2325239,1196541,152114,312778,2213558,0,2943163,1023830,204084,611089,3726364,1460687,1209433,1861230,1599773,3187645,4917464,517569,212524
20130716,155455439,0,6192694,3951947,0,41804,1155489,0,0,737607,30105,1061948,980,0,219495,486286,1149799,503429,246993,100386,33776373,1166116,3600380,30130608,1563285,7979339,18877705,8920745,719924,196840,5960946,255674,68989,0,0,0,0,0,0,0,0,2012381,0,0,0,9913,0,0,0,0,0,0,0,197122,0,99959,57869,0,0,0,0,395460,0,0,2233427,1449331,3167237,2098054,859853,2294572,3911832,2623879,2366192,1999838,362937,219697
20130717,83887943,0,4622643,154107,708226,259481,325647,153832,0,0,440562,303760,0,249094,605683,129128,11564,0,245142,313360,8873595,2555474,7844251,521227,903459,8001129,5058456,9178007,240442,2083747,1029491,845385,1662242,0,20182,0,0,0,0,0,0,0,0,0,0,0,2532553,0,0,0,0,0,9240,0,0,694134,0,0,0,195237,493939,0,152263,245594,1551,1332185,613761,6058274,1720803,1877969,4702488,2186359,1648344,1309742,542365,231826
20130718,137031040,0,3485766,170661,0,11363,440226,0,191327,479559,250145,1305024,0,0,639972,337080,218081,100869,449691,209340,2234452,2161540,3872053,1597792,13045910,8352969,17119895,3423022,2998439,37153741,790194,1311107,1563095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3215768,504653,3049070,0,0,0,3558048,0,910036,0,2540944,0,50076,304433,1005417,2004704,19863,1801057,2576732,1370854,2557283,1856082,1933580,2315475,1296636,247016
20130719,85086277,0,1873664,9162,77659,34537,522935,0,154537,349791,203886,191080,4088623,0,99226,50586,165270,19639,184050,136148,12079706,816853,1028132,4390574,6622947,1456406,1770598,7796562,1807542,3272320,3050281,4900089,20601,0,2998398,0,0,0,0,0,0,0,0,0,0,0,0,98558,0,0,0,0,0,1024184,0,1091,192774,0,404124,198260,1324452,399038,3074871,57879,100936,848591,204918,1200805,962423,2141756,5804917,1517310,2728092,1527653,846332,255511
20130720,118648330,0,6451441,0,0,97771,100578,89060,0,0,102084,1498460,0,9751,0,9252,1215,214701,1238416,395271,605746,6647295,32777363,2480285,2731915,3246886,6195804,10741241,17756252,2579064,319279,277939,394615,0,0,0,0,0,0,0,0,0,0,0,0,0,1274941,0,0,0,0,2031302,0,0,0,0,397301,0,394398,0,0,875211,2165624,1252966,204202,701958,0,1903054,1064108,646104,2381234,2322231,2651653,848416,304222,267721
20130721,84571805,0,4993218,295584,497217,0,0,27991,0,0,4501,588438,0,2993778,0,317460,164605,170465,508111,325500,509042,1554705,4841967,860089,2106765,2207677,13897340,19399857,3207619,492531,369498,99379,29607,0,0,0,0,0,0,0,0,0,0,100549,0,408937,0,0,0,0,0,0,0,0,0,0,945042,0,200781,195518,1003340,298799,200607,100699,602311,2702399,1071160,2885230,9250,5590674,1517691,1639320,2666915,1104075,606491,259073
20130722,151663753,0,6204615,0,0,1970529,4376440,399781,152395,356294,0,30491,0,249891,580049,14224,348353,2363576,446209,566635,20180974,494447,3228573,579573,5355666,824688,21161232,9629515,21670700,5035468,4211731,1259995,7546491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2185949,991475,6010,1523895,0,1022764,297453,1499637,51211,0,4216592,1250572,4735389,2044386,1982277,1325906,5203173,2094086,1473767,272623,248053
20130723,95794920,0,2158933,12548,0,57316,9947756,50411,4963293,311684,102694,69532,23643,323077,0,56142,334242,0,2273287,385578,813088,3453642,1059557,5417496,4683365,6396019,3942090,8937105,2084016,5272569,3317504,1022931,326888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95911,20027,0,0,30005,0,0,0,0,3469503,0,0,2784547,0,1029530,50512,2110765,3023662,1736786,487744,0,2409433,1631218,1323089,3176345,2390846,1446714,526428,255449
20130724,80192949,0,2256077,0,0,17576,0,80396,147954,9942,0,1076101,0,1892539,796138,2307764,506349,1418513,619931,1940632,910817,1088221,992652,2485157,3262864,13648112,4796204,3325734,323852,5365935,2080672,1858306,595902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,781413,1893003,0,0,0,291989,0,0,2209509,442529,139365,0,0,502976,1015473,1080646,351485,1466246,3182283,2027190,3046103,1836323,3810667,1385204,639278,286927
20130725,176642188,0,7200589,38176,0,31188,306615,0,203878,1831467,1272,100821,0,1088264,0,541139,23824,353264,429169,258530,14217594,2567913,58231369,1495450,4425554,2273183,9100177,6813147,6798090,19734673,1078119,3281295,72587,0,10181,0,0,0,0,0,0,0,0,0,0,0,0,0,2972787,0,0,0,0,0,2033635,0,6,0,1817499,0,5337709,199009,3995046,0,1953308,693735,118768,599834,3505503,760254,3445474,2910377,1712931,1153763,635843,289179
20130726,210528288,0,4226860,149193,0,29623,400237,71626,101318,450623,100968,339108,6163009,1019882,0,1342555,620086,0,185092,446155,98480,1057166,1872711,97008,22432673,12075283,7338834,102251422,371590,1126582,3361505,20638281,341085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1959403,168,0,246380,0,20114,9781,613815,677333,4666396,9788,1318586,1452651,197768,1964981,3536683,2709103,1427189,712063,297131
20130727,96409654,0,2293566,0,0,108864,1410,384399,0,998535,0,0,0,10213,496230,19848,436890,0,917532,379990,708219,729870,2082987,381698,12893702,8118361,10046114,11503834,840090,4509272,1591695,14616350,23678,0,1017051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2036804,0,0,972400,0,0,2010317,0,0,1001996,1021346,0,298967,8986,0,492978,1037437,156736,22699,101576,1383188,4109159,4090906,1149175,618227,475839,310520
20130728,99619657,0,2353532,2023284,4555328,0,0,455120,248617,0,0,224411,0,0,200778,505735,50222,0,93206,64860,1722924,1539378,1360221,306456,496452,6081694,4195022,20062098,85422,5993701,1448549,616221,33951415,0,0,0,0,0,0,0,0,0,0,0,883012,0,0,0,0,0,0,0,304,0,0,0,0,0,462559,0,0,511681,0,214989,2589384,0,25047,455101,194042,1651218,827230,784401,930590,512946,635175,307332
20130729,134219755,0,8654636,3459821,153439,83904,80982,135548,225376,1997,3382,145207,0,71527,202002,80032,1186650,1649653,1327144,3587553,5794454,2815624,5803870,2973610,2904228,16048826,15283314,11120953,1791676,8241321,8291330,352882,1968205,0,0,0,0,0,0,0,0,0,0,0,0,0,1974098,0,2949932,0,0,585032,10120,0,0,0,502860,109325,491993,0,204404,1236194,100703,197449,622407,1629369,1112886,804825,3931823,2110822,1424600,4002036,2389180,2266015,823844,300692
20130730,164017956,0,5161841,0,0,29104,299239,196766,81404,72719,32708,64690,39043,322496,446772,2726682,104263,1229196,15127,704567,612792,985413,4697339,7052502,1138531,5688131,4084242,79351038,302383,1335143,12217449,48481,532522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4404526,99159,0,0,0,494688,1966955,2833190,5125978,588773,396100,1200029,887442,1368364,954254,1529318,2094885,3369109,1303550,3205604,1644360,650390,328682
20130731,222837481,0,4996721,0,0,0,493340,186103,0,549596,15893,1880260,50775,399283,0,480208,672636,5775,7171142,415178,366935,1624859,1128336,1441343,3595867,16111997,9106797,101184535,22838557,3031492,1027824,547813,1442163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231270,0,2248590,5628508,0,3053026,2978630,3627852,2004140,631771,4618173,4977453,4877449,1782170,3188836,1367328,495639,361218
20130801,148660233,0,8831867,0,50800,0,105236,297885,0,51189,0,254249,5955142,3961104,0,256420,0,49754,232160,841032,2083451,2519858,6237866,5500373,16226683,2076832,4971104,17448971,5136780,2489410,1327881,1282362,1009239,0,0,0,0,5029078,0,0,0,0,0,0,2631235,0,0,0,0,0,0,0,0,400273,0,0,3432866,0,9182010,0,2760256,3255759,2298949,108761,2797256,4388149,964744,2097148,3108127,2538261,5788850,2304481,2735634,2690485,578237,372026
20130802,105457078,0,2850306,0,0,0,15224687,43148,1995,57307,0,176331,1023675,1006552,986463,41433,120046,1018970,528298,2198576,50224,6477676,2301222,557859,2319719,5535713,3656091,15580992,2082447,1545599,965286,315079,532521,0,3063811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399038,49038,2020533,0,911206,4471163,416142,10201,2989697,1677413,2486083,2194809,2307025,3950848,3203096,3723720,1719746,1554953,710571,399770
20130803,83855717,0,9709700,0,801677,205870,202889,129048,0,0,0,1186212,0,0,0,0,730830,118580,571616,588753,962039,1236702,1214663,911211,12868950,4644898,12364456,7444028,833473,2445484,286034,136847,166754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401228,0,0,0,0,1019510,50,1111366,2837865,1008918,3297516,1511122,0,0,501287,1414170,1484123,2569054,4594446,731373,785455,416408,411112
20130804,131762343,0,2161344,30957,136928,331376,561611,270210,11680,1870131,0,509305,29652,2087194,0,0,180252,0,357719,228125,8609421,7885750,7307269,579084,473872,1568715,34771156,9038223,2060981,381577,24260,1024949,4497,0,22,0,0,5025510,0,0,0,0,0,0,0,198987,1687870,0,0,2957116,0,0,0,195385,0,0,2099905,5061080,3544524,0,1576213,197127,3251832,590208,688651,242027,596021,1224997,3363933,2533773,3491290,3874469,4287810,1693536,474517,409302
20130805,147212386,0,6850005,0,0,16859,198799,24366,0,511823,149591,353717,0,98608,0,1182211,1029258,255637,7067486,2471926,7395531,1658300,1009457,4750877,14253322,1968072,7040299,20964981,1588427,2070219,7292718,803654,2421655,0,0,0,0,4901040,0,0,0,0,0,99023,0,0,0,2963172,0,2049371,0,0,0,8182,2000073,537693,3808952,0,4556865,42759,803022,3026871,1371334,202821,199076,1417184,2486506,5353748,2831309,1538188,1452365,5220243,3732402,1997826,788136,396427
20130806,126515407,0,2649119,1954766,148344,14947,108911,515249,0,2858429,0,632414,214150,0,991142,0,179588,174635,282897,2362489,3196307,2598950,2453678,1145512,3748956,7640870,16510808,11311976,2025927,14850634,670936,159223,316867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048976,0,204231,0,739004,136399,1535673,4383576,0,2369131,5929535,702751,491146,302294,4533255,3071593,6285234,864965,2748423,3043435,3507568,1151015,1411511,930479,407489
