report_date,total_redeem_amt,tftobal_amt, zfb0, zfb1, zfb2, zfb3, zfb4 , zfb5 , zfb6 , zfb7 , zfb8 , zfb9 , zfb10, zfb11, zfb12, zfb13, zfb14, zfb15, zfb16, zfb17, zfb18, zfb19, zfb20, zfb21, zfb22, zfb23, zfb24, zfb25, zfb26, zfb27, zfb28, zfb29, zfb30, zfb31,category1,category2,category3,category4,card0,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11, card12, card13, card14, card15, card16, card17, card18, card19, card20, card21, card22, card23, card24, card25, card26, card27, card28, card29, card30, card31, card32, card33, card34, card35, card36, card37, card38, card39, card40, card41
20130701,24767334,22254658,0,0,0,0,0,0,0,996604,292049,0,0,0,10008,0,100313,0,0,583058,20101,7234467,0,0,219086,0,1604713,5491315,35193,810233,220433,776197,2968375,892513,0,41960,0,2470716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130702,8390811,6355534,0,16783,0,0,0,0,0,0,20013,0,0,0,154,9528,0,101766,0,242144,0,1075594,0,0,490702,10185,992104,0,1600245,792141,52946,611321,58,339850,0,28850,0,2006427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130703,17245549,15985392,0,829531,0,0,0,39729,2439315,0,0,0,0,1506554,0,17074,385,0,0,0,1226471,301397,228269,164532,1237194,0,32168,20036,1027658,5869214,130352,573265,267136,75112,0,67918,0,1192239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130704,16859653,13961714,0,65454,9969,0,255330,8153,0,0,0,0,0,0,129880,994327,0,0,2928777,39975,0,3074771,0,2146,500674,2029,261819,1194271,503973,599,1017693,1749523,889393,332958,460196,314701,0,2123042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130705,11369171,9721614,0,115448,0,0,0,0,1983,0,345843,152175,0,0,198570,1975,245664,0,158324,0,70423,364152,271711,212690,2965042,13523,20425,19727,2243436,154731,423985,978847,364041,398899,2800,537800,0,1106957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130706,14851205,12731069,0,79147,0,100278,0,0,0,0,56038,0,502582,5063,0,15561,0,63746,0,679,0,0,466422,171936,1197876,0,558970,3991,109096,248410,10021,7283114,1597356,260783,203540,671658,0,1244938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130707,8760751,6023698,0,50592,0,0,0,0,0,0,0,0,0,40050,0,10100,4137309,0,0,0,69307,99,0,0,696820,55343,100090,290833,159863,162648,63998,32647,64264,89735,911420,439004,0,1386629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130708,12800183,10556948,0,890084,0,507186,72623,14713,98267,0,0,0,0,0,0,18409,98815,103003,60463,0,1345911,63764,51145,60860,4044781,6099,686694,22508,483809,457750,101585,906942,124188,337349,361172,357301,0,1524762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130709,37743853,33989427,0,1616193,0,1348304,120133,517405,0,0,0,0,0,0,150640,441048,1024,117051,0,977735,251812,1398149,0,22047,12860427,431415,3104076,856622,3873187,1124387,756361,2338098,1496609,186704,403341,2036935,0,1314150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130710,15388462,8194014,0,1188745,0,0,50033,0,0,0,0,78401,0,9769,540441,35901,50757,29309,578359,34433,39901,0,621245,102432,458846,368351,1543269,4056,39811,1673172,236829,311025,181715,17214,5520949,279600,0,1393899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130711,19733522,16853561,0,2227994,0,0,0,13614,0,0,0,0,1320884,204279,48823,0,0,238494,215816,162336,9822,0,29917,30424,2613027,1024,524343,191459,607822,1049844,20318,1756182,2025570,3561569,1085590,289612,0,1504759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130712,26665085,21925007,0,3530400,0,0,49909,0,0,0,0,0,0,199576,132486,0,10112,51040,0,0,529110,229482,1328890,1563491,797437,587833,3603292,5546838,238703,92138,2186363,193149,39548,1015210,905530,1957929,0,1876619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130713,84800004,82463357,0,1642088,0,0,338996,0,0,0,0,99912,596572,0,0,0,663812,60838,0,303228,19986,249758,0,40871,568256,308382,2305035,53832,25029,796796,170068,73955436,200055,64407,246100,430500,0,1660047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130714,20069420,17824148,0,1777663,0,0,0,0,0,0,0,0,0,5065769,2009189,114527,754318,0,0,10038,472870,366,0,49769,0,392050,498265,78415,72447,1494529,102795,3758511,1018341,154286,557054,207100,0,1481118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130715,25684639,22589786,0,7939972,0,0,49443,0,0,0,0,0,1668664,50505,0,0,57896,50157,0,59081,229753,1359480,99491,100130,2723348,806741,530639,810611,2744920,215154,1135495,503665,1214208,240433,1188070,412707,0,1494076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130716,49928436,44741742,0,3191388,0,0,5072516,0,393165,0,0,0,0,204364,28063,0,856361,0,0,0,53650,510541,0,601046,10622195,1448552,10170314,0,498256,6377182,3075875,196999,1146266,295009,1169712,37165,0,3979817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130717,73168887,69138518,0,5137838,0,0,20098,3958691,0,0,0,0,1008744,0,0,1105067,142423,0,0,48922358,199656,512740,12791,591546,2453981,167511,505074,151837,171736,1581475,136924,1831611,144572,381845,1794095,198068,0,2038206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20130718,26261821,23214534,0,3785817,0,0,401903,0,0,0,9910,0,2022867,392173,0,0,0,19540,0,20318,1839910,403065,281491,212563,10024,917645,3225030,636306,0,2916686,2562100,649809,1226988,1680389,1113116,239528,0,1694643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
